Epoch	LR	Train Loss	
1.000000	0.000500	2.487860	
2.000000	0.000500	2.101210	
3.000000	0.000500	1.842871	
4.000000	0.000500	1.623962	
5.000000	0.000500	1.440150	
6.000000	0.000500	1.281253	
7.000000	0.000250	1.167944	
8.000000	0.000250	1.100794	
9.000000	0.000250	1.037744	
10.000000	0.000250	0.978387	
11.000000	0.000250	0.922128	
12.000000	0.000250	0.868155	
